"V1", 40, 364
"V2", 76, 298
"V4", 112, 367
"DP", 145, 161
"MT", 166, 319
"8m", 475, 194
"5", 245, 146
"8l", 455, 209
"TEO", 118, 449
"2", 279, 300
"F1", 329, 124
"STPc",171, 300
"7A",173, 142
"46d",604, 206
"10",689, 263
"9/46v",497, 248
"9/46d",524, 206
"F5",396, 309
"TEpd",221, 533
"PBr",265, 413
"7m",243, 100
"7B",213, 239
"F2",486, 82
"STPi",247, 435
"PROm",423, 397
"F7",585, 134
"8B",604, 147
"STPr",335, 489
"24c",555, 191
